Gene Id: 1	 Cluster Id from solution: 1	 Ground truth cluster: -1
Gene Id: 35	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 36	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 37	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 38	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 39	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 40	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 41	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 42	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 43	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 44	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 45	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 46	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 47	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 48	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 49	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 50	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 51	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 52	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 53	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 54	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 55	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 56	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 57	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 58	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 59	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 60	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 61	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 62	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 63	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 64	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 65	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 66	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 67	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 68	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 69	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 70	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 71	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 72	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 73	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 74	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 75	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 76	 Cluster Id from solution: -1	 Ground truth cluster: 1
Gene Id: 77	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 78	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 79	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 80	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 81	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 82	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 83	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 84	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 85	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 86	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 87	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 88	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 89	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 90	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 91	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 92	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 93	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 94	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 95	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 96	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 97	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 98	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 99	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 100	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 101	 Cluster Id from solution: 1	 Ground truth cluster: 1
Gene Id: 102	 Cluster Id from solution: -1	 Ground truth cluster: 2
Gene Id: 103	 Cluster Id from solution: -1	 Ground truth cluster: 2
Gene Id: 104	 Cluster Id from solution: -1	 Ground truth cluster: 2
Gene Id: 105	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 106	 Cluster Id from solution: -1	 Ground truth cluster: 2
Gene Id: 107	 Cluster Id from solution: -1	 Ground truth cluster: 2
Gene Id: 108	 Cluster Id from solution: -1	 Ground truth cluster: 2
Gene Id: 109	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 110	 Cluster Id from solution: -1	 Ground truth cluster: 2
Gene Id: 111	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 112	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 113	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 114	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 115	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 116	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 117	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 118	 Cluster Id from solution: -1	 Ground truth cluster: 2
Gene Id: 119	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 120	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 121	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 122	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 123	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 124	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 125	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 126	 Cluster Id from solution: -1	 Ground truth cluster: 2
Gene Id: 127	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 128	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 129	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 130	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 131	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 132	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 133	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 134	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 135	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 136	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 137	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 138	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 139	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 140	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 141	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 142	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 143	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 144	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 145	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 146	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 147	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 148	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 149	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 150	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 151	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 152	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 153	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 154	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 155	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 156	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 157	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 158	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 159	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 160	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 161	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 162	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 163	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 164	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 165	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 166	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 167	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 168	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 169	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 170	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 171	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 172	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 173	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 174	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 175	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 176	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 177	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 178	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 179	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 180	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 181	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 182	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 183	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 184	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 185	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 186	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 187	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 188	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 189	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 190	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 191	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 192	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 193	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 194	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 195	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 196	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 197	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 198	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 199	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 200	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 201	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 202	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 203	 Cluster Id from solution: -1	 Ground truth cluster: 2
Gene Id: 204	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 205	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 206	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 207	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 208	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 209	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 210	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 211	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 212	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 213	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 214	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 215	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 216	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 217	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 218	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 219	 Cluster Id from solution: -1	 Ground truth cluster: 2
Gene Id: 220	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 221	 Cluster Id from solution: -1	 Ground truth cluster: 2
Gene Id: 222	 Cluster Id from solution: -1	 Ground truth cluster: 2
Gene Id: 223	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 224	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 225	 Cluster Id from solution: -1	 Ground truth cluster: 2
Gene Id: 226	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 227	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 228	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 229	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 230	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 231	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 232	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 233	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 234	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 235	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 236	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 237	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 238	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 239	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 240	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 241	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 242	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 243	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 244	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 245	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 246	 Cluster Id from solution: 1	 Ground truth cluster: 2
Gene Id: 247	 Cluster Id from solution: 1	 Ground truth cluster: -1
Gene Id: 248	 Cluster Id from solution: 1	 Ground truth cluster: -1
Gene Id: 249	 Cluster Id from solution: 1	 Ground truth cluster: -1
Gene Id: 250	 Cluster Id from solution: 1	 Ground truth cluster: -1
Gene Id: 251	 Cluster Id from solution: -1	 Ground truth cluster: -1
Gene Id: 252	 Cluster Id from solution: 1	 Ground truth cluster: -1
Gene Id: 253	 Cluster Id from solution: -1	 Ground truth cluster: -1
Gene Id: 254	 Cluster Id from solution: -1	 Ground truth cluster: -1
Gene Id: 255	 Cluster Id from solution: 1	 Ground truth cluster: -1
Gene Id: 256	 Cluster Id from solution: -1	 Ground truth cluster: -1
Gene Id: 257	 Cluster Id from solution: -1	 Ground truth cluster: -1
Gene Id: 258	 Cluster Id from solution: -1	 Ground truth cluster: -1
Gene Id: 259	 Cluster Id from solution: -1	 Ground truth cluster: -1
Gene Id: 260	 Cluster Id from solution: -1	 Ground truth cluster: -1
Gene Id: 261	 Cluster Id from solution: -1	 Ground truth cluster: -1
Gene Id: 262	 Cluster Id from solution: -1	 Ground truth cluster: -1
Gene Id: 263	 Cluster Id from solution: -1	 Ground truth cluster: 3
Gene Id: 264	 Cluster Id from solution: -1	 Ground truth cluster: 3
Gene Id: 265	 Cluster Id from solution: -1	 Ground truth cluster: 3
Gene Id: 266	 Cluster Id from solution: -1	 Ground truth cluster: 3
Gene Id: 267	 Cluster Id from solution: -1	 Ground truth cluster: 3
Gene Id: 268	 Cluster Id from solution: -1	 Ground truth cluster: 3
Gene Id: 269	 Cluster Id from solution: 1	 Ground truth cluster: 3
Gene Id: 270	 Cluster Id from solution: -1	 Ground truth cluster: 3
Gene Id: 271	 Cluster Id from solution: 1	 Ground truth cluster: 3
Gene Id: 272	 Cluster Id from solution: 1	 Ground truth cluster: 3
Gene Id: 273	 Cluster Id from solution: 1	 Ground truth cluster: 3
Gene Id: 274	 Cluster Id from solution: 1	 Ground truth cluster: 3
Gene Id: 275	 Cluster Id from solution: 1	 Ground truth cluster: 3
Gene Id: 276	 Cluster Id from solution: -1	 Ground truth cluster: 3
Gene Id: 277	 Cluster Id from solution: -1	 Ground truth cluster: 3
Gene Id: 278	 Cluster Id from solution: 1	 Ground truth cluster: 3
Gene Id: 279	 Cluster Id from solution: 1	 Ground truth cluster: 3
Gene Id: 280	 Cluster Id from solution: 1	 Ground truth cluster: 3
Gene Id: 281	 Cluster Id from solution: 1	 Ground truth cluster: 3
Gene Id: 282	 Cluster Id from solution: 1	 Ground truth cluster: 3
Gene Id: 283	 Cluster Id from solution: 1	 Ground truth cluster: 3
Gene Id: 284	 Cluster Id from solution: 1	 Ground truth cluster: 3
Gene Id: 285	 Cluster Id from solution: 1	 Ground truth cluster: 3
Gene Id: 286	 Cluster Id from solution: -1	 Ground truth cluster: 3
Gene Id: 287	 Cluster Id from solution: -1	 Ground truth cluster: 3
Gene Id: 288	 Cluster Id from solution: -1	 Ground truth cluster: 3
Gene Id: 289	 Cluster Id from solution: -1	 Ground truth cluster: 3
Gene Id: 290	 Cluster Id from solution: -1	 Ground truth cluster: 3
Gene Id: 291	 Cluster Id from solution: -1	 Ground truth cluster: 3
Gene Id: 292	 Cluster Id from solution: -1	 Ground truth cluster: 3
Gene Id: 293	 Cluster Id from solution: -1	 Ground truth cluster: 3
Gene Id: 294	 Cluster Id from solution: -1	 Ground truth cluster: 3
Gene Id: 295	 Cluster Id from solution: -1	 Ground truth cluster: 3
Gene Id: 296	 Cluster Id from solution: -1	 Ground truth cluster: 3
Gene Id: 297	 Cluster Id from solution: -1	 Ground truth cluster: -1
Gene Id: 298	 Cluster Id from solution: -1	 Ground truth cluster: -1
Gene Id: 299	 Cluster Id from solution: -1	 Ground truth cluster: -1
Gene Id: 300	 Cluster Id from solution: -1	 Ground truth cluster: -1
Gene Id: 301	 Cluster Id from solution: -1	 Ground truth cluster: 4
Gene Id: 302	 Cluster Id from solution: -1	 Ground truth cluster: 4
Gene Id: 303	 Cluster Id from solution: -1	 Ground truth cluster: 4
Gene Id: 304	 Cluster Id from solution: -1	 Ground truth cluster: 4
Gene Id: 305	 Cluster Id from solution: 1	 Ground truth cluster: 4
Gene Id: 306	 Cluster Id from solution: 1	 Ground truth cluster: 4
Gene Id: 307	 Cluster Id from solution: -1	 Ground truth cluster: 4
Gene Id: 308	 Cluster Id from solution: -1	 Ground truth cluster: 4
Gene Id: 309	 Cluster Id from solution: -1	 Ground truth cluster: 4
Gene Id: 310	 Cluster Id from solution: 1	 Ground truth cluster: 4
Gene Id: 311	 Cluster Id from solution: -1	 Ground truth cluster: 4
Gene Id: 312	 Cluster Id from solution: -1	 Ground truth cluster: 4
Gene Id: 313	 Cluster Id from solution: -1	 Ground truth cluster: 4
Gene Id: 314	 Cluster Id from solution: -1	 Ground truth cluster: 4
Gene Id: 315	 Cluster Id from solution: -1	 Ground truth cluster: 4
Gene Id: 316	 Cluster Id from solution: 1	 Ground truth cluster: 4
Gene Id: 317	 Cluster Id from solution: 1	 Ground truth cluster: 4
Gene Id: 318	 Cluster Id from solution: 1	 Ground truth cluster: 4
Gene Id: 319	 Cluster Id from solution: -1	 Ground truth cluster: 4
Gene Id: 320	 Cluster Id from solution: -1	 Ground truth cluster: 4
Gene Id: 321	 Cluster Id from solution: -1	 Ground truth cluster: 4
Gene Id: 322	 Cluster Id from solution: -1	 Ground truth cluster: 4
Gene Id: 323	 Cluster Id from solution: -1	 Ground truth cluster: 4
Gene Id: 324	 Cluster Id from solution: -1	 Ground truth cluster: 4
Gene Id: 325	 Cluster Id from solution: -1	 Ground truth cluster: 4
Gene Id: 326	 Cluster Id from solution: -1	 Ground truth cluster: 4
Gene Id: 327	 Cluster Id from solution: -1	 Ground truth cluster: 4
Gene Id: 328	 Cluster Id from solution: -1	 Ground truth cluster: 4
Gene Id: 329	 Cluster Id from solution: -1	 Ground truth cluster: 4
Gene Id: 330	 Cluster Id from solution: -1	 Ground truth cluster: 4
Gene Id: 331	 Cluster Id from solution: -1	 Ground truth cluster: 4
Gene Id: 332	 Cluster Id from solution: -1	 Ground truth cluster: 4
Gene Id: 333	 Cluster Id from solution: -1	 Ground truth cluster: 4
Gene Id: 334	 Cluster Id from solution: -1	 Ground truth cluster: 4
Gene Id: 335	 Cluster Id from solution: -1	 Ground truth cluster: 4
Gene Id: 336	 Cluster Id from solution: -1	 Ground truth cluster: 4
Gene Id: 337	 Cluster Id from solution: -1	 Ground truth cluster: 4
Gene Id: 338	 Cluster Id from solution: -1	 Ground truth cluster: 4
Gene Id: 339	 Cluster Id from solution: -1	 Ground truth cluster: 4
Gene Id: 340	 Cluster Id from solution: -1	 Ground truth cluster: 4
Gene Id: 341	 Cluster Id from solution: -1	 Ground truth cluster: 4
Gene Id: 342	 Cluster Id from solution: -1	 Ground truth cluster: 4
Gene Id: 343	 Cluster Id from solution: -1	 Ground truth cluster: 4
Gene Id: 344	 Cluster Id from solution: -1	 Ground truth cluster: 5
Gene Id: 345	 Cluster Id from solution: -1	 Ground truth cluster: 5
Gene Id: 346	 Cluster Id from solution: -1	 Ground truth cluster: 5
Gene Id: 347	 Cluster Id from solution: -1	 Ground truth cluster: 5
Gene Id: 348	 Cluster Id from solution: -1	 Ground truth cluster: 5
Gene Id: 349	 Cluster Id from solution: -1	 Ground truth cluster: 5
Gene Id: 350	 Cluster Id from solution: -1	 Ground truth cluster: 5
Gene Id: 351	 Cluster Id from solution: -1	 Ground truth cluster: -1
Gene Id: 352	 Cluster Id from solution: -1	 Ground truth cluster: -1
Gene Id: 353	 Cluster Id from solution: -1	 Ground truth cluster: -1
Gene Id: 354	 Cluster Id from solution: -1	 Ground truth cluster: -1
Gene Id: 355	 Cluster Id from solution: -1	 Ground truth cluster: -1
Gene Id: 356	 Cluster Id from solution: -1	 Ground truth cluster: 6
Gene Id: 357	 Cluster Id from solution: -1	 Ground truth cluster: 6
Gene Id: 358	 Cluster Id from solution: -1	 Ground truth cluster: 6
Gene Id: 359	 Cluster Id from solution: -1	 Ground truth cluster: 6
Gene Id: 360	 Cluster Id from solution: -1	 Ground truth cluster: 6
Gene Id: 361	 Cluster Id from solution: -1	 Ground truth cluster: 6
Gene Id: 362	 Cluster Id from solution: -1	 Ground truth cluster: 6
Gene Id: 363	 Cluster Id from solution: -1	 Ground truth cluster: 6
Gene Id: 364	 Cluster Id from solution: -1	 Ground truth cluster: 6
Gene Id: 365	 Cluster Id from solution: -1	 Ground truth cluster: 6
Gene Id: 366	 Cluster Id from solution: -1	 Ground truth cluster: 6
Gene Id: 367	 Cluster Id from solution: -1	 Ground truth cluster: 6
Gene Id: 368	 Cluster Id from solution: -1	 Ground truth cluster: 6
Gene Id: 369	 Cluster Id from solution: -1	 Ground truth cluster: 6
Gene Id: 370	 Cluster Id from solution: -1	 Ground truth cluster: 6
Gene Id: 371	 Cluster Id from solution: -1	 Ground truth cluster: 6
Gene Id: 372	 Cluster Id from solution: -1	 Ground truth cluster: 6
Gene Id: 373	 Cluster Id from solution: -1	 Ground truth cluster: 6
Gene Id: 374	 Cluster Id from solution: -1	 Ground truth cluster: 6
Gene Id: 375	 Cluster Id from solution: -1	 Ground truth cluster: 6
Gene Id: 376	 Cluster Id from solution: -1	 Ground truth cluster: 6
Gene Id: 377	 Cluster Id from solution: -1	 Ground truth cluster: 6
Gene Id: 378	 Cluster Id from solution: -1	 Ground truth cluster: 6
Gene Id: 379	 Cluster Id from solution: -1	 Ground truth cluster: 6
Gene Id: 380	 Cluster Id from solution: -1	 Ground truth cluster: 6
Gene Id: 381	 Cluster Id from solution: -1	 Ground truth cluster: 6
Gene Id: 382	 Cluster Id from solution: -1	 Ground truth cluster: 6
Gene Id: 383	 Cluster Id from solution: -1	 Ground truth cluster: 6
Gene Id: 384	 Cluster Id from solution: -1	 Ground truth cluster: 6
Gene Id: 385	 Cluster Id from solution: -1	 Ground truth cluster: 6
Gene Id: 386	 Cluster Id from solution: -1	 Ground truth cluster: 6
Gene Id: 387	 Cluster Id from solution: -1	 Ground truth cluster: 6
